姓名,财富(亿),性别,年龄,出生地,公司,行业,总部,排名,年龄段,省份
张一鸣,3500.0,先生,41.0,,字节跳动,社交媒体,北京,1,41-50岁,北京
钟睒睒,3400.0,先生,70.0,,养生堂,饮料、医疗保健,浙江杭州,2,70岁以上,浙江杭州
马化腾,3150.0,先生,53.0,汕头,腾讯,互联网服务,广东深圳,3,51-60岁,广东深圳
黄峥,2450.0,先生,44.0,杭州,拼多多,购物网站,上海长宁,4,41-50岁,上海长宁
何享健,2350.0,先生,82.0,佛山,美的,家电制造,广东佛山,5,70岁以上,广东佛山
曾毓群,2000.0,先生,56.0,,宁德时代,锂电池,福建宁德,6,51-60岁,福建宁德
丁磊,2000.0,先生,53.0,宁波,网易,互联网技术,浙江杭州,6,51-60岁,浙江杭州
李嘉诚,2000.0,先生,96.0,潮州,长江实业,投资,香港,6,70岁以上,香港
李兆基,1750.0,先生,96.0,佛山,恒基兆业,房地产,香港,9,70岁以上,香港
马云,1650.0,先生,60.0,绍兴,阿里系,电子商务、金融科技,浙江杭州,10,61-70岁,浙江杭州
李书福,1450.0,先生,61.0,台州,吉利,汽车制造,浙江杭州,11,61-70岁,浙江杭州
严昊,1450.0,先生,38.0,淮安,太平洋建设,基础建设,新疆乌鲁木齐,11,31-40岁,新疆乌鲁木齐
张刚,1450.0,先生,43.0,聊城,信发铝电,电解铝、氧化铝,山东聊城,11,41-50岁,山东聊城
李蔡美灵,1400.0,先生,,香港,李锦记,调味品,香港,14,,香港
吕向阳,1400.0,先生,61.0,芜湖,融捷,投资,广东广州,14,61-70岁,广东广州
秦英林,1350.0,先生,59.0,南阳,牧原,畜牧,河南南阳,16,51-60岁,河南南阳
王传福,1350.0,先生,58.0,芜湖,比亚迪,汽车、充电电池,广东深圳,16,51-60岁,广东深圳
赵长鹏,1350.0,先生,47.0,,币安,虚拟货币交易所,美国,16,41-50岁,美国
雷军,1300.0,先生,55.0,仙桃,小米,智能硬件与技术、投资,北京,19,51-60岁,北京
陈建华,1250.0,先生,53.0,苏州,恒力,化纤、石化、房地产,江苏苏州,20,51-60岁,江苏苏州
张志东,1250.0,先生,52.0,东莞,腾讯,互联网服务,广东深圳,20,51-60岁,广东深圳
刘永行,1200.0,先生,76.0,,东方希望,氧化铝、重化工、饲料,上海浦东,22,70岁以上,上海浦东
王卫,1100.0,先生,54.0,河源,顺丰,快递,广东深圳,23,51-60岁,广东深圳
魏建军,1100.0,先生,60.0,保定,长城,汽车制造,河北保定,23,61-70岁,河北保定
郑淑良,1100.0,先生,78.0,滨州,魏桥创业,铝业、纺织,山东滨州,23,70岁以上,山东滨州
李西廷,1000.0,先生,73.0,宿州,迈瑞,医疗器械,广东深圳,26,70岁以上,广东深圳
党彦宝,950.0,先生,51.0,,宝丰,煤化工,宁夏银川,27,51-60岁,宁夏银川
徐航,950.0,先生,62.0,广东,迈瑞、鹏瑞,医疗器械、房地产,广东深圳,27,61-70岁,广东深圳
郑家纯,950.0,先生,76.0,香港,周大福,珠宝,香港,27,70岁以上,香港
郭台铭,930.0,先生,74.0,晋城,鸿海,电子制造,台湾台北,30,70岁以上,台湾台北
吴光正,930.0,先生,78.0,宁波,会德丰,房地产,香港,30,70岁以上,香港
刘銮雄,910.0,先生,73.0,香港,华人置业,房地产,香港,32,70岁以上,香港
黄世霖,890.0,先生,57.0,,宁德时代,锂电池,福建宁德,33,51-60岁,福建宁德
王兴,885.0,先生,45.0,福建,美团,生活服务,北京,34,41-50岁,北京
庞康,870.0,先生,68.0,,海天味业,调味品,广东佛山,35,61-70岁,广东佛山
杜纪川,850.0,先生,83.0,丽水,金士顿科技,半导体,美国洛杉矶,36,70岁以上,美国洛杉矶
孙大卫,850.0,先生,73.0,,金士顿科技,半导体,美国洛杉矶,36,70岁以上,美国洛杉矶
林立,810.0,先生,61.0,河源,立业,投资,广东深圳,38,61-70岁,广东深圳
宗馥莉,810.0,女士,,,娃哈哈,饮料,浙江杭州,38,,浙江杭州
吕志和,800.0,先生,95.0,江门,银河,博彩,香港,40,70岁以上,香港
严彬,800.0,先生,70.0,莱州,华彬,饮料、地产,北京,40,70岁以上,北京
钟慧娟,770.0,女士,63.0,,翰森,医药,江苏连云港,42,61-70岁,江苏连云港
李泽楷,750.0,先生,58.0,潮州,电讯盈科,电信,香港,43,51-60岁,香港
蔡浩宇,730.0,先生,37.0,济南,米哈游,游戏,上海,44,31-40岁,上海
张聪渊,720.0,先生,76.0,,华利实业,鞋业,广东中山,45,70岁以上,广东中山
刘汉元,700.0,先生,60.0,成都,通威,新能源、农业,四川成都,46,61-70岁,四川成都
林百里,695.0,先生,75.0,,广达电脑,消费电子产品,台湾桃园,47,70岁以上,台湾桃园
刘永好,690.0,先生,73.0,成都,新希望,农业、化工、金融,四川成都,48,70岁以上,四川成都
蔡崇信,680.0,先生,60.0,,阿里系,电子商务、金融科技,浙江杭州,49,61-70岁,浙江杭州
陈东升,670.0,先生,67.0,天门,泰康,保险,北京,50,61-70岁,北京
项光达,670.0,先生,66.0,,青山控股,钢铁,浙江温州,50,61-70岁,浙江温州
于泳,670.0,先生,,,鸿商产业,钼矿,上海浦东,50,,上海浦东
张国华,670.0,先生,69.0,台北,长荣集团,物流、钢铁,台湾台北,50,61-70岁,台湾台北
邝肖卿,665.0,女士,95.0,广州,新鸿基,房地产,香港,54,70岁以上,香港
孙飘扬,650.0,先生,66.0,镇江,恒瑞,医药,江苏连云港,55,61-70岁,江苏连云港
周群飞,635.0,女士,54.0,长沙,蓝思科技,电子器件制造,湖南长沙,56,51-60岁,湖南长沙
王来胜,630.0,先生,60.0,,立讯精密,消费电子,广东深圳,57,61-70岁,广东深圳
徐浩宇,630.0,先生,52.0,泰州,扬子江药业,医药,江苏泰州,57,51-60岁,江苏泰州
王来春,620.0,女士,57.0,,立讯精密,消费电子,广东深圳,59,51-60岁,广东深圳
朱保国,620.0,先生,62.0,,健康元,医药,广东深圳,59,61-70岁,广东深圳
龚虹嘉,615.0,先生,59.0,,海康威视,视频监控产品,浙江杭州,61,51-60岁,浙江杭州
岑均达,610.0,先生,,,恒瑞、翰森,医药,江苏连云港,62,,江苏连云港
梁稳根,600.0,先生,68.0,娄底,三一,重型机械,北京,63,61-70岁,北京
王玉锁,600.0,先生,60.0,廊坊,新奥,天然气、能源化工,河北廊坊,63,61-70岁,河北廊坊
陈天桥,590.0,先生,51.0,绍兴,盛大,投资,上海浦东,65,51-60岁,上海浦东
汪俊林,590.0,先生,62.0,眉山,郎酒,白酒,四川成都,65,61-70岁,四川成都
杜双华,575.0,先生,59.0,衡水,日照钢铁,钢铁,山东日照,67,51-60岁,山东日照
陈丽华,550.0,女士,83.0,北京,富华,房地产、紫檀博物馆,北京,68,70岁以上,北京
李水荣,550.0,先生,68.0,,荣盛控股,化纤,浙江杭州,68,61-70岁,浙江杭州
张勇,540.0,先生,53.0,,海底捞,餐饮,北京,70,51-60岁,北京
李彦宏,525.0,先生,56.0,邢台,百度,网络信息服务,北京,71,51-60岁,北京
曹仁贤,520.0,先生,56.0,,阳光电源,光伏设备,安徽合肥,72,51-60岁,安徽合肥
刘强东,520.0,先生,50.0,宿迁,京东,电子商务、金融,北京,72,51-60岁,北京
林木勤,510.0,先生,60.0,,东鹏饮料,食品饮料,广东深圳,74,61-70岁,广东深圳
朱义,510.0,先生,61.0,,百利天恒,医药,四川成都,74,61-70岁,四川成都
汪立平,500.0,先生,58.0,无锡,恒立液压,高压油缸,江苏常州,76,51-60岁,江苏常州
许仰天,500.0,先生,40.0,淄博,希音,电商,广东广州,76,41-50岁,广东广州
严昕,500.0,女士,41.0,,苏商,基础设施建设,上海,76,41-50岁,上海
林斌,490.0,先生,56.0,,小米,智能硬件与技术,北京,79,51-60岁,北京
罗立国,490.0,先生,68.0,,合盛,硅材料,浙江宁波,79,61-70岁,浙江宁波
吴亚军,490.0,女士,60.0,重庆,龙湖,房地产,北京,79,61-70岁,北京
裴振华,480.0,先生,,,天华超净,超净产品,江苏苏州,82,,江苏苏州
许世辉,480.0,先生,67.0,,达利食品,食品,福建泉州,82,61-70岁,福建泉州
蔡明兴,460.0,先生,67.0,泉州,富邦,金融服务,台湾台北,84,61-70岁,台湾台北
陈邦,460.0,先生,59.0,长沙,爱尔眼科,医疗服务,湖南长沙,84,51-60岁,湖南长沙
黄楚龙,450.0,先生,65.0,揭阳,星河,房地产、投资,广东深圳,86,61-70岁,广东深圳
李华,450.0,先生,58.0,,卓越,房地产,广东深圳,86,51-60岁,广东深圳
蔡明忠,440.0,先生,68.0,泉州,富邦,金融服务,台湾台北,88,61-70岁,台湾台北
谢青,440.0,先生,,,飞塔,网路安全,美国旧金山,88,,美国旧金山
李天颖,435.0,先生,,香港,新鸿基,房地产,香港,90,,香港
米高·嘉道理,435.0,先生,83.0,,中电,能源,香港,90,70岁以上,香港
陈贤哲,430.0,先生,71.0,,北极星,投资,台湾台北,92,70岁以上,台湾台北
张虔生,430.0,先生,80.0,温州,日月光,工业品、房地产,台湾高雄,92,70岁以上,台湾高雄
虞仁荣,425.0,先生,58.0,,韦尔股份,半导体,上海浦东,94,51-60岁,上海浦东
蔡宏图,420.0,先生,72.0,泉州,霖园,金融服务,台湾台北,95,70岁以上,台湾台北
杨惠妍,420.0,女士,43.0,佛山,碧桂园,投资、房地产、教育,广东佛山,95,41-50岁,广东佛山
沈国军,415.0,先生,62.0,宁波,银泰,零售、房地产、物流,北京,97,61-70岁,北京
宋建波,415.0,先生,54.0,烟台,南山,铝业、纺织、房地产,山东烟台,97,51-60岁,山东烟台
霍斯特·帕德威尔,410.0,先生,79.0,,创科实业,消费品,香港,99,70岁以上,香港
鲁伟鼎,410.0,先生,53.0,,万向,汽车制造业、房地产、农业,浙江杭州,99,51-60岁,浙江杭州
其实,410.0,先生,54.0,上海,东方财富,信息服务,上海徐汇,99,51-60岁,上海徐汇
阮立平,410.0,先生,60.0,,公牛,插座,浙江宁波,99,61-70岁,浙江宁波
方威,405.0,先生,51.0,沈阳,方大,碳素、钢铁、煤焦,北京,103,51-60岁,北京
蒋仁生,405.0,先生,71.0,桂林,智飞生物,疫苗,重庆,103,70岁以上,重庆
阮学平,405.0,先生,52.0,,公牛,插座,浙江宁波,103,51-60岁,浙江宁波
朱孟依,405.0,先生,65.0,梅州,合生创展,房地产、投资,广东广州,103,61-70岁,广东广州
蔡衍明,400.0,先生,67.0,泉州,旺旺,食品和饮料,台湾台北,107,61-70岁,台湾台北
丁世忠,400.0,先生,54.0,,安踏,体育用品,福建厦门,107,51-60岁,福建厦门
赖海民,400.0,先生,58.0,揭阳,鸿荣源,房地产,广东深圳,107,51-60岁,广东深圳
刘伟,400.0,先生,37.0,,米哈游,游戏,上海,107,31-40岁,上海
苏海文,400.0,先生,83.0,,BW,物流,香港,107,70岁以上,香港
王旭宁,395.0,先生,55.0,北京,JS环球生活,小家电,香港,112,51-60岁,香港
谢华,390.0,先生,,,飞塔,网路安全,美国旧金山,113,,美国旧金山
蔡政达,385.0,先生,,泉州,霖园,金融服务,台湾台北,114,,台湾台北
李平,385.0,先生,56.0,,宁德时代,锂电池,福建宁德,114,51-60岁,福建宁德
曾芳勤,380.0,女士,59.0,,领益智造,消费电子精密件,广东江门,116,51-60岁,广东江门
丁世家,380.0,先生,60.0,,安踏,体育用品,福建厦门,116,61-70岁,福建厦门
罗宇皓,380.0,先生,37.0,,米哈游,游戏,上海,116,31-40岁,上海
沈彬,380.0,未知,,江苏苏州,沙钢,钢铁,江苏苏州,116,,江苏苏州
李小冬,375.0,先生,46.0,,冬海集团,网络游戏、电商,新加坡,120,41-50岁,新加坡
谢炳,375.0,先生,72.0,汕头,中生制药,医药,北京,120,70岁以上,北京
高德康,370.0,先生,72.0,苏州,波司登,服装,江苏苏州,122,70岁以上,江苏苏州
马建荣,370.0,先生,59.0,,申洲针织,纺织、服装,浙江宁波,122,51-60岁,浙江宁波
修涞贵,370.0,先生,69.0,,修正药业,医药,吉林长春,122,61-70岁,吉林长春
邬建树,360.0,先生,60.0,,拓普,汽车零部件制造,浙江宁波,125,61-70岁,浙江宁波
陈发树,355.0,先生,63.0,,新华都,医药、零售、投资,福建福州,126,61-70岁,福建福州
黄如论,355.0,先生,73.0,河南,世纪金源,房地产,北京,126,70岁以上,北京
赖梅松,350.0,先生,54.0,,中通,物流,上海青浦,128,51-60岁,上海青浦
汪滔,350.0,先生,44.0,,大疆,无人机,广东深圳,128,41-50岁,广东深圳
张和君,350.0,先生,72.0,,德业股份,电器零部件制造,浙江宁波,128,70岁以上,浙江宁波
朱艳,340.0,先生,53.0,,贝壳,房地产服务,北京,131,51-60岁,北京
陈志列,335.0,先生,61.0,无锡,研祥,特种计算机,广东深圳,132,61-70岁,广东深圳
李想,335.0,先生,43.0,,理想汽车,新能源汽车,北京,132,41-50岁,北京
张忠谋,335.0,先生,93.0,宁波,台积电,半导体,台湾新竹,132,70岁以上,台湾新竹
刘金成,330.0,先生,60.0,,亿纬锂能,锂电池,广东惠州,135,61-70岁,广东惠州
张志祥,330.0,先生,57.0,宁波,建龙,钢铁、矿业、船运,北京,135,51-60岁,北京
李革,325.0,先生,57.0,温州,药明康德,医药,上海浦东,137,51-60岁,上海浦东
林张素娥,325.0,先生,,泉州,联邦,房地产、金融,台湾台北,137,,台湾台北
史玉柱,325.0,先生,62.0,蚌阜,巨人,金融、在线游戏、投资,上海松江,137,61-70岁,上海松江
陈天石,320.0,先生,39.0,,寒武纪,人工智能芯片,北京,140,31-40岁,北京
何小鹏,320.0,先生,47.0,黄石,小鹏汽车,新能源汽车,广东广州,140,41-50岁,广东广州
胡凯军,320.0,先生,62.0,,远大,医药,北京,140,61-70岁,北京
陈金霞,315.0,女士,56.0,上海,涌金投资,医药、投资,上海浦东,143,51-60岁,上海浦东
何超琼,310.0,女士,62.0,澳门,信德、美高梅中国,博彩,香港,144,61-70岁,香港
郭炳联,305.0,先生,72.0,香港,新鸿基,房地产,香港,145,70岁以上,香港
郭基辉,305.0,先生,41.0,香港,新鸿基,房地产,香港,145,41-50岁,香港
施永宏,305.0,先生,54.0,,海底捞,餐饮,北京,145,51-60岁,北京
程雪,300.0,女士,54.0,,海天味业,调味品,广东佛山,148,51-60岁,广东佛山
董建成,300.0,先生,81.0,宁波,东方海外,运输,香港,148,70岁以上,香港
林建华,300.0,先生,62.0,,福斯特,光伏材料,浙江杭州,148,61-70岁,浙江杭州
刘益谦,300.0,先生,61.0,湖北,新理益,投资,上海浦东,148,61-70岁,上海浦东
沈南鹏,300.0,先生,57.0,嘉兴,红杉,投资,北京,148,51-60岁,北京
杨建文,300.0,先生,71.0,香港,伯恩光学,工业产品,香港,148,70岁以上,香港
易峥,300.0,先生,54.0,,同花顺,软件,浙江杭州,148,51-60岁,浙江杭州
陈凯旋,295.0,先生,66.0,揭阳,立白,日化用品,广东广州,155,61-70岁,广东广州
辜仲立,295.0,先生,57.0,,中信金控,金融服务,台湾台北,155,51-60岁,台湾台北
蔡奎,290.0,先生,63.0,重庆,龙湖,房地产,北京,157,61-70岁,北京
蔡志明,290.0,先生,79.0,揭阳,旭日国际,玩具,香港,157,70岁以上,香港
米恩华,290.0,先生,66.0,,华凌工贸,地产、畜牧,新疆乌鲁木齐,157,61-70岁,新疆乌鲁木齐
王健林,290.0,先生,70.0,广元,万达,房地产、文化,北京,157,70岁以上,北京
吴向东,290.0,先生,54.0,,华泽,酒业、投资,北京,157,51-60岁,北京
杨绍鹏,290.0,先生,68.0,青岛,海丰,航运,香港,157,61-70岁,香港
尤小平,290.0,先生,66.0,,华峰,化工、铝业、投资,浙江温州,157,61-70岁,浙江温州
蔡明介,285.0,先生,74.0,,联发科技,半导体,台湾新竹,164,70岁以上,台湾新竹
陈华,285.0,先生,58.0,湛江,京基,房地产、投资,广东深圳,164,51-60岁,广东深圳
郭广昌,285.0,先生,57.0,金华,复星,投资,上海黄浦,164,51-60岁,上海黄浦
赵涛,285.0,先生,58.0,陕西,步长,医药,北京,164,51-60岁,北京
钭正刚,280.0,先生,71.0,,锦江,能源、化工,浙江杭州,168,70岁以上,浙江杭州
李华,280.0,先生,46.0,,富途,金融服务,香港,168,41-50岁,香港
孙广信,280.0,先生,62.0,青岛,广汇,汽车销售、能源、房地产,新疆乌鲁木齐,168,61-70岁,新疆乌鲁木齐
徐旭东,280.0,先生,83.0,南通,远东,金融服务,台湾新北,168,70岁以上,台湾新北
王宁,275.0,先生,37.0,新乡,泡泡玛特,玩具,北京,172,31-40岁,北京
李贤义,270.0,先生,72.0,泉州,信义,玻璃,香港,173,70岁以上,香港
涂辉龙,270.0,先生,65.0,汕尾,海雅,商业、金融、地产,广东深圳,173,61-70岁,广东深圳
朱鼎健,270.0,先生,50.0,潮汕,观澜湖,房地产,广东深圳,173,51-60岁,广东深圳
梁庆德,265.0,先生,87.0,佛山,格兰仕,家电,广东佛山,176,70岁以上,广东佛山
夏佐全,265.0,先生,61.0,襄阳,比亚迪,汽车、充电电池,广东深圳,176,61-70岁,广东深圳
叶澄海,265.0,先生,81.0,梅州,信立泰,医药,广东深圳,176,70岁以上,广东深圳
江南春,260.0,先生,51.0,上海,分众传媒,数字新媒体、投资,上海长宁,179,51-60岁,上海长宁
李振国,260.0,先生,56.0,许昌,隆基,硅材料,陕西西安,179,51-60岁,陕西西安
林陈海,260.0,先生,,,宝佳,房地产,台湾新北,179,,台湾新北
林鸿南,260.0,先生,57.0,泉州,宏泰,投资,台湾台北,179,51-60岁,台湾台北
刘克振,260.0,先生,70.0,,研华,电脑产品,台湾台北,179,70岁以上,台湾台北
张磊,260.0,先生,52.0,,高瓴资本,投资,美国纽约,179,51-60岁,美国纽约
李春安,255.0,先生,56.0,,隆基,硅材料,陕西西安,185,51-60岁,陕西西安
缪汉根,255.0,先生,59.0,苏州,盛虹,印染、化纤、房地产,江苏苏州,185,51-60岁,江苏苏州
叶国富,255.0,先生,47.0,十堰,名创优品,新零售,广东广州,185,41-50岁,广东广州
余竹云,255.0,先生,51.0,衢州,中环新能源,绿色建材、新能源,安徽合肥,185,51-60岁,安徽合肥
喻会蛟,255.0,先生,55.0,,圆通速递,物流,上海青浦,185,51-60岁,上海青浦
周建平,255.0,先生,63.0,无锡,海澜,服装、投资,江苏无锡,185,61-70岁,江苏无锡
曹德旺,250.0,先生,78.0,,福耀玻璃,玻璃,福建福州,191,70岁以上,福建福州
杜江涛,250.0,先生,55.0,内蒙古,君正,煤化工、电力、运输,内蒙古乌海,191,51-60岁,内蒙古乌海
缪寿良,250.0,先生,69.0,梅州,富源,房地产、水电,广东深圳,191,61-70岁,广东深圳
彭铁缆,250.0,先生,,湘西,博深集团,企业服务,湖南长沙,191,,湖南长沙
宋涛,250.0,先生,48.0,,米哈游,游戏,上海,191,41-50岁,上海
严建亚,245.0,先生,58.0,,巨子生物,生物科技,陕西西安,196,51-60岁,陕西西安
袁征,245.0,先生,54.0,山东,zoom,视频软件,美国旧金山,196,51-60岁,美国旧金山
郭金树,240.0,先生,73.0,,汇能,煤炭、路桥、房地产,内蒙古鄂尔多斯,198,70岁以上,内蒙古鄂尔多斯
姜滨,240.0,先生,58.0,山东,歌尔股份,声学及多媒体产品,山东潍坊,198,51-60岁,山东潍坊
许家彰,240.0,先生,,,奇美,化工,台湾台南,198,,台湾台南
姚良松,240.0,先生,60.0,梅州,欧派家居,橱柜,广东广州,198,61-70岁,广东广州
朱共山,240.0,先生,66.0,盐城,协鑫,太阳能芯片、发电厂,香港,198,61-70岁,香港
曹其峰,235.0,先生,78.0,香港,永新,杂货,香港,203,70岁以上,香港
张茵,235.0,女士,67.0,鸡西,玖龙纸业,环保造纸,广东东莞,203,61-70岁,广东东莞
郑崇华,235.0,先生,88.0,南平,台达电子,半导体,台湾台北,203,70岁以上,台湾台北
陈大年,230.0,先生,46.0,绍兴,掌门科技,上网平台,上海浦东,206,41-50岁,上海浦东
廖龙星,230.0,先生,,,长春,化工,台湾台北,206,,台湾台北
林书鸿,230.0,先生,96.0,,长春,化工,台湾台北,206,70岁以上,台湾台北
王麒诚,230.0,先生,44.0,,汉鼎宇佑,文化传媒、投资,浙江杭州,206,41-50岁,浙江杭州
徐波,230.0,先生,47.0,,多益网络,网络游戏,广东广州,206,41-50岁,广东广州
许荣茂,230.0,先生,74.0,泉州,世茂,投资、房地产,上海黄浦,206,70岁以上,上海黄浦
郑正,230.0,先生,,,长春,化工,台湾台北,206,,台湾台北
董经贵,225.0,先生,54.0,,雅迪,电动车,江苏无锡,213,51-60岁,江苏无锡
刘炽平,225.0,先生,51.0,,腾讯,互联网服务,广东深圳,213,51-60岁,广东深圳
茅理翔,225.0,先生,83.0,,方太厨具,厨具,浙江宁波,213,70岁以上,浙江宁波
孙纪木,225.0,先生,68.0,绍兴,新华联合冶金,钢铁,河北沧州,213,61-70岁,河北沧州
吴光明,225.0,先生,62.0,镇江,鱼跃医疗,医疗设备,江苏镇江,213,61-70岁,江苏镇江
尹衍梁,225.0,先生,74.0,日照,润泰,建筑开发、金融保险,台湾台北,213,70岁以上,台湾台北
张红超,225.0,先生,46.0,商丘,蜜雪冰城,餐饮,河南郑州,213,41-50岁,河南郑州
张红甫,225.0,先生,39.0,商丘,蜜雪冰城,餐饮,河南郑州,213,31-40岁,河南郑州
赵燕,225.0,女士,57.0,威海,华熙国际,生物医药、房地产,北京,213,51-60岁,北京
郑坚江,225.0,先生,63.0,,奥克斯,家电、房地产,浙江宁波,213,61-70岁,浙江宁波
朱林瑶,225.0,女士,54.0,,华宝国际,香精香料、烟草,广东深圳,213,51-60岁,广东深圳
蔡镇宇,220.0,先生,71.0,泉州,宝丰隆,金融服务,台湾台北,224,70岁以上,台湾台北
崔根良,220.0,先生,66.0,苏州,亨通,电缆、热能电力、投资,江苏苏州,224,61-70岁,江苏苏州
郭建军,220.0,先生,,,汇能,煤炭、路桥、房地产,内蒙古鄂尔多斯,224,,内蒙古鄂尔多斯
罗才仁,220.0,先生,71.0,泉州,正新橡胶,橡胶,台湾彰化,224,70岁以上,台湾彰化
郭梅兰,215.0,女士,,,东阳光,医药、电子新材料,广东深圳,228,,广东深圳
薛敏,215.0,先生,,,联影医疗,医疗设备,上海嘉定,228,,上海嘉定
赵藤雄,215.0,先生,80.0,,远雄,房地产,台湾台北,228,70岁以上,台湾台北
陈永泰,210.0,先生,88.0,中山,震旦,办公家具、房地产,台湾台北,231,70岁以上,台湾台北
仇建平,210.0,先生,62.0,,巨星科技,工具制造,浙江杭州,231,61-70岁,浙江杭州
马维建,210.0,先生,,,元大,金融服务,台湾台北,231,,台湾台北
郭恩元,205.0,先生,76.0,,普阳钢铁,钢铁、煤化工,河北邯郸,234,70岁以上,河北邯郸
冷友斌,205.0,先生,55.0,,中国飞鹤,乳业,北京,234,51-60岁,北京
宿华,205.0,先生,42.0,,快手科技,传媒娱乐,北京,234,41-50岁,北京
叶刚,205.0,先生,43.0,,冬海集团,网络游戏、电商,新加坡,234,41-50岁,新加坡
张道才,205.0,先生,74.0,,三花控股,工业设备、汽车零部件、房地产,浙江绍兴,234,70岁以上,浙江绍兴
黄柏年,200.0,先生,68.0,福建,外滩中心,房地产,上海,239,61-70岁,上海
倪祖根,200.0,先生,67.0,苏州,莱克电气,小家电,江苏苏州,239,61-70岁,江苏苏州
潘政民,200.0,先生,57.0,江苏,瑞声科技,消费电子精密件,广东深圳,239,51-60岁,广东深圳
彭国远,200.0,先生,38.0,汕尾,心里程,教育、房地产,广东深圳,239,31-40岁,广东深圳
许家印,200.0,先生,66.0,周口,恒大,投资、房地产,广东广州,239,61-70岁,广东广州
杨致远,200.0,先生,56.0,湖北,雅虎,投资,美国,239,51-60岁,美国
张峻,200.0,先生,,,富德,保险,广东深圳,239,,广东深圳
张兴海,200.0,先生,61.0,,小康控股,汽车、汽车零配件,重庆,239,61-70岁,重庆
胡柏藩,195.0,先生,62.0,,新和成,医药,浙江绍兴,247,61-70岁,浙江绍兴
黄光苗,195.0,先生,55.0,汕头,中洲,房地产,广东深圳,247,51-60岁,广东深圳
林敏雄,195.0,女士,74.0,泉州,元利,房地产,台湾台北,247,70岁以上,台湾台北
阮洪良,195.0,先生,63.0,,福莱特,光伏材料,浙江嘉兴,247,61-70岁,浙江嘉兴
王伟修,195.0,先生,74.0,山东,中际旭创,通信设备,山东烟台,247,70岁以上,山东烟台
薛华,195.0,先生,54.0,陕西,海大,饲料,广东广州,247,51-60岁,广东广州
张剑,195.0,先生,55.0,商丘,爱玛,电动自行车,天津,247,51-60岁,天津
周超男,195.0,先生,64.0,,润泽科技,软件与信息技术服务,河北廊坊,247,61-70岁,河北廊坊
曹龙祥,190.0,先生,67.0,,济川控股,医药,江苏泰州,255,61-70岁,江苏泰州
陈泰铭,190.0,先生,68.0,台南,国巨,电子制造、收藏,台湾台北,255,61-70岁,台湾台北
范现国,190.0,先生,64.0,邢台,今麦郎,食品与饮料,河北邢台,255,61-70岁,河北邢台
李赶坡,190.0,先生,75.0,河北,敬业,钢铁,河北石家庄,255,70岁以上,河北石家庄
李义海,190.0,先生,61.0,南昌,济民可信,医药,江西南昌,255,61-70岁,江西南昌
廖汤慧霭,190.0,女士,76.0,香港,纪惠,房地产,香港,255,70岁以上,香港
王正华,190.0,先生,80.0,上海,春秋航空,航空,上海长宁,255,70岁以上,上海长宁
吴以岭,190.0,先生,75.0,衡水,以岭,医药,河北石家庄,255,70岁以上,河北石家庄
项光通,190.0,先生,,,青山控股,钢铁,浙江温州,255,,浙江温州
周晓萍,190.0,女士,63.0,常州,星宇股份,汽车灯具,江苏常州,255,61-70岁,江苏常州
曾小山,185.0,先生,79.0,邵东,曾氏企业,铝业,湖南长沙,265,70岁以上,湖南长沙
陈志平,185.0,先生,48.0,,思摩尔,电子烟,广东深圳,265,41-50岁,广东深圳
傅利泉,185.0,先生,57.0,浙江,大华技术,软件、电子通讯产品,浙江杭州,265,51-60岁,浙江杭州
黄敏利,185.0,先生,59.0,,敏华,休闲沙发,香港,265,51-60岁,香港
黄文仔,185.0,先生,71.0,广州,星河湾,房地产、投资,广东广州,265,70岁以上,广东广州
简军,185.0,女士,61.0,,爱美客,生物制药,北京,265,61-70岁,北京
梁光伟,185.0,先生,61.0,台州,华强,投资,广东深圳,265,61-70岁,广东深圳
谢伟通,185.0,先生,67.0,,华友钴业,有色金属,浙江嘉兴,265,61-70岁,浙江嘉兴
许邦福,185.0,未知,,,华城电机,电子元件,台湾桃园,265,,台湾桃园
张双旺,185.0,先生,81.0,榆林,伊泰,煤炭,内蒙古鄂尔多斯,265,70岁以上,内蒙古鄂尔多斯
张文中,185.0,先生,62.0,山东,物美,零售,北京,265,61-70岁,北京
季琦,180.0,先生,58.0,南通,华住,连锁酒店,上海闵行,276,51-60岁,上海闵行
靳保芳,180.0,先生,72.0,邢台,晶澳科技,光伏,河北邢台,276,70岁以上,河北邢台
李洪信,180.0,先生,71.0,山东,太阳纸业,造纸,山东济宁,276,70岁以上,山东济宁
毛文超,180.0,未知,,,小红书,生活服务平台、电商,上海,276,,上海
王俊民,180.0,先生,56.0,,海思科,医药,西藏山南,276,51-60岁,西藏山南
王树华,180.0,先生,,,冀南钢铁,钢铁,河北邯郸,276,,河北邯郸
翁先定,180.0,先生,63.0,,新产业,医疗器械,广东深圳,276,61-70岁,广东深圳
阎志,180.0,先生,52.0,,卓尔,房地产、投资,湖北武汉,276,51-60岁,湖北武汉
杨卫东,180.0,先生,56.0,,卫星石化,化工,浙江嘉兴,276,51-60岁,浙江嘉兴
张力,180.0,先生,71.0,,富力地产,投资、房地产,广东广州,276,70岁以上,广东广州
张松桥,180.0,先生,60.0,重庆,中渝,投资、房地产,香港,276,61-70岁,香港
周泽荣,180.0,先生,70.0,汕头,侨鑫,房地产、投资,广东广州,276,70岁以上,广东广州
